Codigo,Forum,Chat,Resource,Assignment,URL,Page,Book,Choice,Glossary,Quiz,Wiki
ADM_1,4,0,6,3,0,1,0,1,0,2,0
ADM_2,6,0,6,5,2,1,0,0,1,4,0
ADM_3,6,0,12,0,6,10,0,0,0,6,0
ADM_4,4,1,5,8,0,0,0,0,0,7,0
ADM_5,4,1,16,5,24,1,0,0,0,5,0
ADM_6,4,0,5,0,0,0,0,0,0,8,0
ADM_7,3,1,5,4,0,0,0,0,0,7,0
ADM_8,5,0,3,4,0,0,0,0,0,4,0
ADM_9,5,2,23,4,3,0,0,0,0,8,0
ADM_10,6,0,3,6,1,0,0,0,0,4,0
ADM_11,4,2,10,4,0,0,0,0,0,7,0
ADM_12,3,2,13,3,1,1,0,0,0,6,0
ADM_13,4,1,8,4,1,0,0,0,0,6,0
ADM_14,4,2,14,0,8,0,0,0,0,6,0
ADM_15,3,0,7,2,0,0,0,0,0,5,0
ADM_16,3,0,6,0,0,0,0,0,0,8,0
