Codigo,Forum,Chat,Resource,Assignment,URL,Page,Book,Choice,Glossary,Quiz,Wiki
AGRO_1,4,0,6,3,0,1,0,1,0,2,0
AGRO_2,6,0,6,5,2,1,0,0,1,4,0
AGRO_3,5,0,13,0,4,13,0,0,0,6,0
AGRO_4,4,1,5,1,0,1,0,0,0,4,0
AGRO_5,6,0,5,5,0,0,0,0,0,5,0
AGRO_6,4,1,4,7,0,1,0,0,0,5,0
AGRO_7,3,1,15,4,7,0,0,0,0,6,0
AGRO_8,5,1,9,4,0,1,0,0,0,9,0
AGRO_9,4,0,11,5,5,0,0,0,0,10,0
AGRO_10,6,0,8,6,0,5,0,0,0,8,0
AGRO_11,3,0,18,0,0,1,0,0,0,6,0
AGRO_12,5,0,14,3,0,0,0,0,0,8,0
AGRO_13,3,0,7,0,0,0,0,0,0,4,0
AGRO_14,5,1,12,0,0,1,0,0,0,8,0
AGRO_15,6,1,9,0,0,0,0,0,0,6,0
