Codigo,Forum,Chat,Resource,Assignment,URL,Page,Book,Choice,Glossary,Quiz,Wiki
CONT_1,4,0,6,3,0,1,0,1,0,2,0
CONT_2,6,0,6,5,2,1,0,0,1,4,0
CONT_3,6,0,12,0,3,12,0,0,0,6,0
CONT_4,4,3,4,5,3,1,0,0,0,5,0
CONT_5,6,5,10,8,0,0,0,0,0,3,0
CONT_6,6,0,3,6,0,0,0,0,0,4,0
CONT_7,4,1,22,6,3,2,0,0,0,2,0
CONT_8,6,0,5,4,0,0,0,0,0,4,0
CONT_9,3,0,10,4,0,0,0,0,0,8,0
CONT_10,2,0,13,0,8,0,0,0,0,6,0
CONT_11,3,0,9,0,2,2,0,0,0,5,0
CONT_12,3,0,6,6,0,1,0,0,0,6,0
CONT_13,3,3,6,1,0,3,0,0,0,7,0
CONT_14,4,2,21,11,5,0,0,0,0,0,0
CONT_15,3,4,15,6,1,0,0,0,0,6,0
