2201-1940 CustomWeightedEdge{sourceUserId=2201, targeUserId=1940, type=AP, peso=469.0}
2168-2157 CustomWeightedEdge{sourceUserId=2168, targeUserId=2157, type=AA, peso=44.0}
2171-1981 CustomWeightedEdge{sourceUserId=2171, targeUserId=1981, type=AP, peso=432.0}
2236-2260 CustomWeightedEdge{sourceUserId=2236, targeUserId=2260, type=AA, peso=278.0}
2173-2172 CustomWeightedEdge{sourceUserId=2173, targeUserId=2172, type=AA, peso=62.0}
2173-2173 CustomWeightedEdge{sourceUserId=2173, targeUserId=2173, type=AA, peso=61.0}
2189-2183 CustomWeightedEdge{sourceUserId=2189, targeUserId=2183, type=AA, peso=19.0}
2189-2180 CustomWeightedEdge{sourceUserId=2189, targeUserId=2180, type=AA, peso=131.0}
2253-2260 CustomWeightedEdge{sourceUserId=2253, targeUserId=2260, type=AA, peso=99.0}
2156-2165 CustomWeightedEdge{sourceUserId=2156, targeUserId=2165, type=AA, peso=69.0}
2173-2178 CustomWeightedEdge{sourceUserId=2173, targeUserId=2178, type=AA, peso=37.0}
2263-1951 CustomWeightedEdge{sourceUserId=2263, targeUserId=1951, type=AP, peso=1948.0}
2156-2168 CustomWeightedEdge{sourceUserId=2156, targeUserId=2168, type=AA, peso=72.0}
2162-1940 CustomWeightedEdge{sourceUserId=2162, targeUserId=1940, type=AP, peso=132.0}
2154-1981 CustomWeightedEdge{sourceUserId=2154, targeUserId=1981, type=AP, peso=43.0}
2168-2263 CustomWeightedEdge{sourceUserId=2168, targeUserId=2263, type=AA, peso=67.0}
2189-2173 CustomWeightedEdge{sourceUserId=2189, targeUserId=2173, type=AA, peso=182.0}
2236-2254 CustomWeightedEdge{sourceUserId=2236, targeUserId=2254, type=AA, peso=44.0}
2216-2197 CustomWeightedEdge{sourceUserId=2216, targeUserId=2197, type=AA, peso=94.0}
2236-2253 CustomWeightedEdge{sourceUserId=2236, targeUserId=2253, type=AA, peso=407.0}
2265-2242 CustomWeightedEdge{sourceUserId=2265, targeUserId=2242, type=AA, peso=109.0}
2211-2214 CustomWeightedEdge{sourceUserId=2211, targeUserId=2214, type=AA, peso=32.0}
2173-2186 CustomWeightedEdge{sourceUserId=2173, targeUserId=2186, type=AA, peso=39.0}
2236-2252 CustomWeightedEdge{sourceUserId=2236, targeUserId=2252, type=AA, peso=299.0}
1984-1951 CustomWeightedEdge{sourceUserId=1984, targeUserId=1951, type=PP, peso=31.0}
2189-2171 CustomWeightedEdge{sourceUserId=2189, targeUserId=2171, type=AA, peso=39.0}
2189-2172 CustomWeightedEdge{sourceUserId=2189, targeUserId=2172, type=AA, peso=31.0}
2173-2180 CustomWeightedEdge{sourceUserId=2173, targeUserId=2180, type=AA, peso=48.0}
2248-2237 CustomWeightedEdge{sourceUserId=2248, targeUserId=2237, type=AA, peso=24.0}
1982-2223 CustomWeightedEdge{sourceUserId=1982, targeUserId=2223, type=PA, peso=46.0}
1983-2193 CustomWeightedEdge{sourceUserId=1983, targeUserId=2193, type=PA, peso=52.0}
2181-2146 CustomWeightedEdge{sourceUserId=2181, targeUserId=2146, type=AA, peso=58.0}
1951-1951 CustomWeightedEdge{sourceUserId=1951, targeUserId=1951, type=PP, peso=27.0}
2161-2171 CustomWeightedEdge{sourceUserId=2161, targeUserId=2171, type=AA, peso=28.0}
2236-2248 CustomWeightedEdge{sourceUserId=2236, targeUserId=2248, type=AA, peso=160.0}
2168-2178 CustomWeightedEdge{sourceUserId=2168, targeUserId=2178, type=AA, peso=310.0}
2168-2179 CustomWeightedEdge{sourceUserId=2168, targeUserId=2179, type=AA, peso=68.0}
2236-2242 CustomWeightedEdge{sourceUserId=2236, targeUserId=2242, type=AA, peso=67.0}
2131-2130 CustomWeightedEdge{sourceUserId=2131, targeUserId=2130, type=AA, peso=40.0}
2147-2147 CustomWeightedEdge{sourceUserId=2147, targeUserId=2147, type=AA, peso=19.0}
2131-2133 CustomWeightedEdge{sourceUserId=2131, targeUserId=2133, type=AA, peso=63.0}
2258-1951 CustomWeightedEdge{sourceUserId=2258, targeUserId=1951, type=AP, peso=76.0}
1982-2219 CustomWeightedEdge{sourceUserId=1982, targeUserId=2219, type=PA, peso=26.0}
1931-1980 CustomWeightedEdge{sourceUserId=1931, targeUserId=1980, type=PP, peso=445.0}
2187-1981 CustomWeightedEdge{sourceUserId=2187, targeUserId=1981, type=AP, peso=237.0}
1982-2212 CustomWeightedEdge{sourceUserId=1982, targeUserId=2212, type=PA, peso=64.0}
2166-1981 CustomWeightedEdge{sourceUserId=2166, targeUserId=1981, type=AP, peso=120.0}
1982-2215 CustomWeightedEdge{sourceUserId=1982, targeUserId=2215, type=PA, peso=3.0}
2242-1940 CustomWeightedEdge{sourceUserId=2242, targeUserId=1940, type=AP, peso=149.0}
2234-1984 CustomWeightedEdge{sourceUserId=2234, targeUserId=1984, type=AP, peso=28.0}
2181-2158 CustomWeightedEdge{sourceUserId=2181, targeUserId=2158, type=AA, peso=70.0}
2232-2254 CustomWeightedEdge{sourceUserId=2232, targeUserId=2254, type=AA, peso=112.0}
2133-1931 CustomWeightedEdge{sourceUserId=2133, targeUserId=1931, type=AP, peso=292.0}
2149-1981 CustomWeightedEdge{sourceUserId=2149, targeUserId=1981, type=AP, peso=335.0}
2181-2159 CustomWeightedEdge{sourceUserId=2181, targeUserId=2159, type=AA, peso=58.0}
2148-2186 CustomWeightedEdge{sourceUserId=2148, targeUserId=2186, type=AA, peso=42.0}
2248-2263 CustomWeightedEdge{sourceUserId=2248, targeUserId=2263, type=AA, peso=58.0}
2148-2180 CustomWeightedEdge{sourceUserId=2148, targeUserId=2180, type=AA, peso=226.0}
2157-1940 CustomWeightedEdge{sourceUserId=2157, targeUserId=1940, type=AP, peso=29.0}
2178-1981 CustomWeightedEdge{sourceUserId=2178, targeUserId=1981, type=AP, peso=585.0}
2168-2163 CustomWeightedEdge{sourceUserId=2168, targeUserId=2163, type=AA, peso=48.0}
2168-2165 CustomWeightedEdge{sourceUserId=2168, targeUserId=2165, type=AA, peso=215.0}
2168-2166 CustomWeightedEdge{sourceUserId=2168, targeUserId=2166, type=AA, peso=41.0}
